Date,Value
199605,19.27
199606,22.62
199607,25.92
199608,27.37
199609,23.9
199610,19.97
199611,17.95
199612,15.27
199701,13.89
199702,13.32
199703,13.41
199704,14.71
199705,20.45
199706,25.72
199707,26.62
199708,26.6
199709,24.29
199710,21.67
199711,17.77
199712,14.75
199801,12.79
199802,13.31
199803,13.21
199804,17.31
199805,19.47
199806,25.02
199807,27.1
199808,27.15
199809,25.19
199810,21.27
199811,16.37
199812,12.95
199901,12.69
199902,11.01
199903,14.09
199904,16.59
199905,21.67
199906,25.52
199907,26.3
199908,29.25
199909,26.19
199910,23.47
199911,17.97
199912,14.27
200001,10.89
200002,11.87
200003,14.51
200004,17.31
200005,21.37
200006,23.75
200007,26.6
200008,27.32
200009,24.89
200010,21.29
200011,18.77
200012,15.69
200101,14.01
200102,13.11
200103,16.41
200104,15.91
200105,20.47
200106,24.02
200107,27.3
200108,27.15
200109,25.09
200110,23.97
200111,18.32
200112,13.27
200201,11.49
200202,13.71
200203,15.61
200204,16.91
200205,20.07
200206,24.42
200207,27.00
200208,27.05
200209,24.27
200210,21.47
200211,18.37
200212,14.67
200301,13.19
200302,10.49
200303,12.81
200304,16.21
200305,20.57
200306,25.57
200307,28.98
200308,28.62
200309,24.89
200310,23.27
200311,18.67
200312,13.87
200401,12.69
200402,13.64
200403,14.21
200404,16.34
200405,18.49
200406,23.42
200407,26.4
200408,27.67
200409,24.09
200410,23.27
200411,17.07
200412,14.97
200501,11.29
200502,10.71
200503,14.01
200504,16.11
200505,20.77
200506,24.22
200507,27.42
200508,26.57
200509,24.79
200510,22.07
200511,18.07
200512,13.47
200601,11.49
200602,12.21
200603,14.44
200604,17.71
200605,21.27
200606,24.42
200607,27.08
200608,27.25
200609,24.39
200610,22.47
200611,17.97
200612,15.15
200701,14.19
200702,14.11
200703,14.21
200704,16.91
200705,20.27
200706,25.22
200707,26.6
200708,27.75
200709,24.99
200710,21.47
200711,17.07
200712,13.65
200801,13.27
200802,12.29
200803,14.61
200804,17.61
200805,20.99
200806,23.8
200807,27.42
200808,27.35
200809,25.29
200810,22.19
200811,17.87
200812,13.97
200901,13.39
200902,11.71
200903,14.11
200904,16.01
200905,20.37
200906,24.22
200907,27.52
200908,28.25
200909,24.99
200910,20.77
200911,17.67
200912,16.27
201001,13.59
201002,14.54
201003,15.24
201004,17.41
201005,19.87
201006,23.72
201007,27.4
201008,27.57
201009,24.39
201010,21.37
201011,18.27
201012,14.99
201101,13.19
201102,12.06
201103,13.71
201104,17.31
201105,19.27
201106,23.35
201107,27.08
201108,27.09
201109,26.29
201110,20.77
201111,18.35
201112,14.87
201201,12.67
201202,10.21
201203,14.06
201204,17.04
201205,19.95
201206,25.42
201207,28.28
201208,28.65
201209,24.89
201210,23.25
201211,19.97
201212,14.57
201301,13.39
201302,11.81
201303,15.59
201304,18.09
201305,20.17
201306,22.75
201307,26.6
201308,27.69
201309,25.27
201310,24.07
201311,17.71
201312,14.25
201401,13.99
201402,14.34
201403,14.04
201404,17.31
201405,19.55
201406,24.32
201407,26.3
201408,27.75
201409,26.55
201410,22.97
201411,19.67
201412,15.05
201501,13.19
201502,12.04
201503,14.31
201504,16.81
201505,21.37
201506,24.32
201507,28.22
201508,28.07
201509,25.97
201510,22.62
201511,18.47
201512,14.77
201601,13.91
201602,15.11
201603,14.79
201604,18.48
201605,20.25
201606,24.42
201607,26.92
201608,26.75
201609,24.89
201610,23.45
201611,18.87
201612,14.97
201701,10.97
201702,13.81
201703,15.21
201704,16.99
201705,21.15
201706,25.52
201707,27.9
201708,28.77
201709,24.77
201710,21.25
201711,17.27
201712,13.37
201801,14.27
201802,12.34
201803,15.14
201804,18.14
201805,20.14
201806,24.22
201807,28.08
201808,26.87
201809,25.99
201810,21.79
201811,18.27
201812,14.92
201901,11.79
201902,12.31
201903,14.66
201904,16.81
201905,18.25
201906,25.85
201907,27.9
201908,28.57
201909,25.81
201910,22.61
201911,17.84
201912,16.05
202001,14.27
202002,14.19
202003,14.14
202004,17.11
202005,21.37
202006,23.8
202007,26.92
202008,28.27
202009,25.44
202010,21.01
202011,18.75
202012,15.04
202101,13.99
202102,14.21
202103,13.87
202104,16.51
202105,20.87
202106,26.2
202107,28.3
202108,29.17
202109,26.67
202110,21.17
202111,17.97
202112,13.97
